manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6063V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 21""D x 84""H. 1-tier. Cat.No 6063V",9,21,84,,,,USD,EA
Penco,PENCO-6064V,Locker,10 51 13,"Penco Vanguard. Locker. 9""W x 24""D x 84""H. 1-tier. Cat.No 6064V",9,24,84,,,,USD,EA
Penco,PENCO-6065V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 21""D x 84""H. 1-tier. Cat.No 6065V",12,21,84,,,,USD,EA
Penco,PENCO-6066V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 24""D x 84""H. 1-tier. Cat.No 6066V",12,24,84,,,,USD,EA
Penco,PENCO-6067V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 21""D x 84""H. 1-tier. Cat.No 6067V",12,21,84,,,,USD,EA
Penco,PENCO-6068V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 24""D x 84""H. 1-tier. Cat.No 6068V",12,24,84,,,,USD,EA
Penco,PENCO-6069V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 84""H. 1-tier. Cat.No 6069V",12,12,84,,,,USD,EA
Penco,PENCO-6072V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 21""D x 84""H. 1-tier. Cat.No 6072V",12,21,84,,,,USD,EA
Penco,PENCO-6073V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 84""H. 2-tier. Cat.No 6073V",12,12,84,,,,USD,EA
Penco,PENCO-6074V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 24""D x 84""H. 1-tier. Cat.No 6074V",12,24,84,,,,USD,EA
Penco,PENCO-6075V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6075V",24,48,5,,,,USD,EA
Penco,PENCO-6076V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 12""D x 18""H. 2-tier. Cat.No 6076V",24,12,18,,,,USD,EA
Penco,PENCO-6077V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6077V",24,48,5,,,,USD,EA
Penco,PENCO-6078V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6078V",24,48,5,,,,USD,EA
Penco,PENCO-6079V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6079V",24,48,5,,,,USD,EA
Penco,PENCO-6080V,Locker,10 51 13,"Penco Vanguard. Locker. 24""W x 48""D x 5""H. 2-tier. Cat.No 6080V",24,48,5,,,,USD,EA
